Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.02448808] [0.00492979] 0.4901918198936331 [0.2964625]
x_err,y_err, velCond, z_err [0.03020445] [0.00820887] 0.28021660743170396 [0.28739581]
x_err,y_err, velCond, z_err [0.03406261] [0.01071164] 0.1708741375316652 [0.28233937]
x_err,y_err, velCond, z_err [0.03146644] [0.01054644] 0.23369276932786587 [0.29131781]
x_err,y_err, velCond, z_err [0.03561093] [0.01225683] 0.2518716374756471 [0.28229558]
x_err,y_err, velCond, z_err [0.03072148] [0.00959619] 0.3779866964965627 [0.29635305]
x_err,y_err, velCond, z_err [0.03302035] [0.01054644] 0.13989451249375195 [0.29134057]
x_err,y_err, velCond, z_err [0.02888247] [0.00883604] 0.25180581782414535 [0.3003629]
x_err,y_err, velCond, z_err [0.03302035] [0.01054644] 0.25180581782414535 [0.29134057]
x_err,y_err, velCond, z_err [0.03301937] [0.00899466] 0.03883019089698844 [0.29140731]
x_err,y_err, velCond, z_err [0.03301839] [0.00744283] 0.03883168101310787 [0.29147405]
x_err,y_err, velCond, z_err [0.03330544] [0.00666002] 0.10132224256945467 [0.28750785]
x_err,y_err, velCond, z_err [0.02391253] [0.00183051] 0.502207891708656 [0.30459555]
x_err,y_err, velCond, z_err [0.01587854] [0.00558598] 0.44835625658350636 [0.31881132]
x_err,y_err, velCond, z_err [0.02292552] [0.00284747] 0.5824489734063553 [0.29677418]
x_err,y_err, velCond, z_err [0.01950929] [0.00674794] 0.16559319430211875 [0.30089601]
x_err,y_err, velCond, z_err [0.0071906] [0.01558567] 0.5027700114252917 [0.31410921]
x_err,y_err, velCond, z_err [0.01435835] [0.01273045] 0.5838012244762995 [0.29206858]
x_err,y_err, velCond, z_err [0.00144403] [0.0228737] 0.8269756144592624 [0.3193013]
x_err,y_err, velCond, z_err [0.00191709] [0.02417442] 0.22665887791744527 [0.31034122]
x_err,y_err, velCond, z_err [0.01404034] [0.03230338] 0.4310950068946309 [0.31952247]
x_err,y_err, velCond, z_err [0.01050612] [0.03251882] 0.3598900651344006 [0.30556911]
x_err,y_err, velCond, z_err [0.00740957] [0.03290371] 0.3330527775140492 [0.29261759]
x_err,y_err, velCond, z_err [0.01915466] [0.04173406] 0.389790746393394 [0.29783072]
x_err,y_err, velCond, z_err [0.02382948] [0.04484493] 0.14039170307505483 [0.29789608]
x_err,y_err, velCond, z_err [0.02322358] [0.04491503] 0.35040035114445894 [0.28389334]
x_err,y_err, velCond, z_err [0.03032285] [0.05219644] 0.2857116238886418 [0.28910787]
x_err,y_err, velCond, z_err [0.03379901] [0.05744773] 0.47306046174708266 [0.27126416]
x_err,y_err, velCond, z_err [0.04644715] [0.06654754] 0.510845503015875 [0.28448381]
x_err,y_err, velCond, z_err [0.04862108] [0.07088502] 0.23078072210363812 [0.27663041]
x_err,y_err, velCond, z_err [0.04822105] [0.07400871] 0.3313199140398054 [0.26375721]
x_err,y_err, velCond, z_err [0.05741916] [0.0847171] 0.3530057618415818 [0.26408315]
x_err,y_err, velCond, z_err [0.05536197] [0.08617733] 0.3291117004706842 [0.25116267]
x_err,y_err, velCond, z_err [0.06508439] [0.09389565] 0.4530583076794236 [0.26436573]
x_err,y_err, velCond, z_err [0.07484511] [0.10167126] 0.45421839431165845 [0.2775707]
