Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 75.5153839129832 [0.5]
x_err,y_err, velCond, z_err [0.04888488] [0.05086144] 0.8250492897197228 [0.21870643]
x_err,y_err, velCond, z_err [0.04378449] [0.04691394] 0.19105310101109352 [0.214607]
x_err,y_err, velCond, z_err [0.04075452] [0.04237971] 0.13638780926889235 [0.21445632]
x_err,y_err, velCond, z_err [0.03264791] [0.03392739] 0.31146078099562347 [0.21020737]
x_err,y_err, velCond, z_err [0.03423152] [0.03357857] 0.30208923890343264 [0.22218164]
x_err,y_err, velCond, z_err [0.02915666] [0.02814613] 0.21301388076825598 [0.21801819]
x_err,y_err, velCond, z_err [0.0195322] [0.02076986] 0.44791889347284397 [0.20482841]
x_err,y_err, velCond, z_err [0.00445612] [0.00917864] 0.5660698314065791 [0.1925381]
x_err,y_err, velCond, z_err [0.01846652] [0.01250986] 0.9920404181912023 [0.22951435]
x_err,y_err, velCond, z_err [0.00094991] [0.00187559] 0.8924561391505933 [0.20028345]
x_err,y_err, velCond, z_err [0.00356481] [0.00263005] 0.15949105689919152 [0.20015574]
x_err,y_err, velCond, z_err [0.01653206] [0.01475741] 0.4903932262436913 [0.19181581]
x_err,y_err, velCond, z_err [0.02494827] [0.02084206] 0.3299843184704837 [0.18366916]
x_err,y_err, velCond, z_err [0.02011975] [0.02065252] 0.4167377213527978 [0.19962291]
x_err,y_err, velCond, z_err [0.02479388] [0.02942881] 0.3303080005739618 [0.20832318]
x_err,y_err, velCond, z_err [0.03022964] [0.03340329] 0.21112385943344142 [0.20322677]
x_err,y_err, velCond, z_err [0.03235247] [0.03847972] 0.18283745310063873 [0.20804452]
x_err,y_err, velCond, z_err [0.03105237] [0.04292632] 0.6311077196337997 [0.2328601]
x_err,y_err, velCond, z_err [0.03564206] [0.04750684] 0.16214051291218637 [0.23273027]
x_err,y_err, velCond, z_err [0.03834968] [0.05289805] 0.17840652439880184 [0.23654208]
x_err,y_err, velCond, z_err [0.04294825] [0.05748733] 0.1624524001738671 [0.23641201]
x_err,y_err, velCond, z_err [0.04162817] [0.06218291] 0.6565613030275841 [0.26221754]
x_err,y_err, velCond, z_err [0.05073858] [0.06904235] 0.43562750129562416 [0.24904246]
x_err,y_err, velCond, z_err [0.05352682] [0.07298822] 0.1548409820210489 [0.25291762]
x_err,y_err, velCond, z_err [0.04809896] [0.07708375] 0.5701107235851753 [0.27468473]
x_err,y_err, velCond, z_err [0.05715186] [0.08386685] 0.43408226514929094 [0.26151209]
x_err,y_err, velCond, z_err [0.06098061] [0.08622279] 0.16903736921592688 [0.25646154]
x_err,y_err, velCond, z_err [0.06434925] [0.09149519] 0.1881343812621816 [0.25227999]
x_err,y_err, velCond, z_err [0.06408011] [0.09394872] 0.1152716523767645 [0.25617458]
x_err,y_err, velCond, z_err [0.06181176] [0.09470886] 0.1372052279525979 [0.26111394]
x_err,y_err, velCond, z_err [0.06181274] [0.09625769] 0.03875643014907945 [0.26104732]
x_err,y_err, velCond, z_err [0.07361405] [0.10185063] 0.7295037030637501 [0.23495271]
x_err,y_err, velCond, z_err [0.0699842] [0.10214195] 0.21843675318821615 [0.24289517]
x_err,y_err, velCond, z_err [0.06617343] [0.10136791] 0.15801301637546614 [0.24787793]
x_err,y_err, velCond, z_err [0.07208412] [0.10491017] 0.3695863111409461 [0.23479869]
x_err,y_err, velCond, z_err [0.0816305] [0.10814572] 0.582817856063974 [0.21377773]
x_err,y_err, velCond, z_err [0.07390242] [0.10552645] 0.47180637051319957 [0.23079473]
x_err,y_err, velCond, z_err [0.07237349] [0.10552645] 0.03822743892669767 [0.23077234]
x_err,y_err, velCond, z_err [0.07342485] [0.10387268] 0.22838687272062536 [0.22184952]
x_err,y_err, velCond, z_err [0.06412251] [0.09816309] 0.5077297372514685 [0.23897641]
x_err,y_err, velCond, z_err [0.06472389] [0.09789231] 0.20037197347863547 [0.23098871]
x_err,y_err, velCond, z_err [0.06243929] [0.09258839] 0.18790382152734833 [0.22617814]
x_err,y_err, velCond, z_err [0.06308825] [0.09083924] 0.20350217618448546 [0.21825474]
x_err,y_err, velCond, z_err [0.05633438] [0.08649576] 0.28507377831392877 [0.22635082]
x_err,y_err, velCond, z_err [0.05886938] [0.08543041] 0.30605229088391583 [0.21442155]
x_err,y_err, velCond, z_err [0.05503672] [0.07920869] 0.26714979342561046 [0.20662467]
x_err,y_err, velCond, z_err [0.04710266] [0.07399944] 0.2585946660459932 [0.21073664]
x_err,y_err, velCond, z_err [0.05631822] [0.07448677] 0.758816413616547 [0.18182091]
x_err,y_err, velCond, z_err [0.05119045] [0.06696651] 0.29902523833883954 [0.17406093]
x_err,y_err, velCond, z_err [0.04271661] [0.05878886] 0.3091733500460384 [0.17028453]
x_err,y_err, velCond, z_err [0.03826367] [0.05434485] 0.15730890360686248 [0.17041049]
x_err,y_err, velCond, z_err [0.04162557] [0.05288287] 0.40803668572275276 [0.15450607]
x_err,y_err, velCond, z_err [0.03573449] [0.04553498] 0.23551686780215259 [0.15473588]
x_err,y_err, velCond, z_err [0.02687529] [0.04029767] 0.3972711001138095 [0.1668439]
x_err,y_err, velCond, z_err [0.02934162] [0.03888475] 0.2101648145748905 [0.15893241]
x_err,y_err, velCond, z_err [0.02440866] [0.03221106] 0.23274388010849528 [0.16315133]
x_err,y_err, velCond, z_err [0.02343785] [0.03004971] 0.11462445511982668 [0.15922602]
x_err,y_err, velCond, z_err [0.02740812] [0.02869546] 0.22343444051051695 [0.15133426]
x_err,y_err, velCond, z_err [0.0159915] [0.02027448] 0.6174167653024059 [0.17154994]
x_err,y_err, velCond, z_err [0.01849035] [0.01893204] 0.21017633283792309 [0.16363589]
x_err,y_err, velCond, z_err [0.02100164] [0.01908261] 0.20912821666235698 [0.15565804]
x_err,y_err, velCond, z_err [0.01302009] [0.01286788] 0.4767728752718098 [0.17182504]
x_err,y_err, velCond, z_err [0.0135327] [0.01073002] 0.1120244032891981 [0.16792043]
x_err,y_err, velCond, z_err [0.01205135] [0.00925158] 0.0523326899174097 [0.16796234]
x_err,y_err, velCond, z_err [0.01056994] [0.00777321] 0.05233269051141726 [0.16800424]
x_err,y_err, velCond, z_err [0.01056808] [0.00481645] 0.0739872455596924 [0.1681314]
x_err,y_err, velCond, z_err [0.01657938] [0.00732601] 0.3420635335985908 [0.15609902]
x_err,y_err, velCond, z_err [0.012571] [0.00417756] 0.23893675767947853 [0.1641839]
x_err,y_err, velCond, z_err [0.00856342] [0.00249863] 0.22807721438012285 [0.17220583]
x_err,y_err, velCond, z_err [0.01604931] [0.005017] 0.3593821898749549 [0.16019466]
x_err,y_err, velCond, z_err [0.01204763] [0.00333807] 0.228014356811308 [0.16821667]
x_err,y_err, velCond, z_err [0.01805011] [0.00585644] 0.3420184384454208 [0.15618377]
x_err,y_err, velCond, z_err [0.01004682] [0.00249863] 0.4560225200801215 [0.17222755]
x_err,y_err, velCond, z_err [0.00804701] [0.00314341] 0.11178720854924357 [0.1761746]
x_err,y_err, velCond, z_err [0.01605116] [0.00796203] 0.46550268153868896 [0.160068]
x_err,y_err, velCond, z_err [0.01752754] [0.01090705] 0.08240105154435068 [0.15996293]
x_err,y_err, velCond, z_err [0.01605302] [0.01090705] 0.03686696290970261 [0.15994134]
x_err,y_err, velCond, z_err [0.01752846] [0.01237953] 0.05212300964083258 [0.1598996]
x_err,y_err, velCond, z_err [0.02005733] [0.01696235] 0.24253582443073887 [0.15173134]
x_err,y_err, velCond, z_err [0.02702014] [0.0192143] 0.33042627515338446 [0.14072505]
x_err,y_err, velCond, z_err [0.02352573] [0.02070867] 0.19675491647995055 [0.14761678]
x_err,y_err, velCond, z_err [0.02848347] [0.02359] 0.2273546246432443 [0.14055825]
x_err,y_err, velCond, z_err [0.02048504] [0.02415963] 0.5127586794707479 [0.15943615]
x_err,y_err, velCond, z_err [0.03339739] [0.0302226] 0.6786420822963385 [0.1363407]
x_err,y_err, velCond, z_err [0.03538637] [0.03102092] 0.11365453127492417 [0.13233141]
x_err,y_err, velCond, z_err [0.02792848] [0.02949089] 0.4199135618875017 [0.14730347]
x_err,y_err, velCond, z_err [0.03048484] [0.03458952] 0.3140666378986828 [0.13611019]
x_err,y_err, velCond, z_err [0.03102498] [0.03537903] 0.10355255946297105 [0.13208006]
x_err,y_err, velCond, z_err [0.03102589] [0.03683174] 0.03635138273239167 [0.13201758]
x_err,y_err, velCond, z_err [0.03248337] [0.04118979] 0.11495764391121271 [0.13185145]
x_err,y_err, velCond, z_err [0.03593097] [0.04341733] 0.14414742171941566 [0.12780205]
x_err,y_err, velCond, z_err [0.02942851] [0.04324095] 0.4301446804092424 [0.14373083]
x_err,y_err, velCond, z_err [0.02940438] [0.04559164] 0.09336031026711085 [0.14663247]
x_err,y_err, velCond, z_err [0.0338228] [0.04908696] 0.16062425094606136 [0.1435437]
x_err,y_err, velCond, z_err [0.02837914] [0.04994371] 0.30522974062014435 [0.15443851]
x_err,y_err, velCond, z_err [0.03528912] [0.05347148] 0.3377865495696915 [0.14337656]
x_err,y_err, velCond, z_err [0.03675445] [0.05639447] 0.08178463138575137 [0.14327228]
x_err,y_err, velCond, z_err [0.03330033] [0.05656163] 0.19406015878396662 [0.15022182]
x_err,y_err, velCond, z_err [0.03821985] [0.05931746] 0.22576617175202973 [0.143168]
x_err,y_err, velCond, z_err [0.03132796] [0.05876115] 0.32342740926189667 [0.15410239]
x_err,y_err, velCond, z_err [0.03527744] [0.06169239] 0.2364064383280593 [0.14602587]
x_err,y_err, velCond, z_err [0.02590382] [0.06024463] 0.46374151134600855 [0.16196729]
x_err,y_err, velCond, z_err [0.02244608] [0.0595167] 0.13314929587394805 [0.16595228]
x_err,y_err, velCond, z_err [0.02493185] [0.06097247] 0.21338536532068403 [0.15791767]
x_err,y_err, velCond, z_err [0.01948517] [0.0595167] 0.2444963994309458 [0.16590892]
x_err,y_err, velCond, z_err [0.01652526] [0.06099508] 0.08275757578374794 [0.16580197]
x_err,y_err, velCond, z_err [0.01304995] [0.06027016] 0.13341312034762648 [0.16978634]
x_err,y_err, velCond, z_err [0.00956786] [0.05806099] 0.14446585836275708 [0.17383445]
x_err,y_err, velCond, z_err [0.00912217] [0.0595167] 0.20548805518135238 [0.16575715]
x_err,y_err, velCond, z_err [0.00965044] [0.05876917] 0.1017181064341835 [0.16179273]
x_err,y_err, velCond, z_err [0.00178662] [0.05582618] 0.356149957721553 [0.16976022]
x_err,y_err, velCond, z_err [0.00133621] [0.0565549] 0.31048049921063686 [0.15776214]
x_err,y_err, velCond, z_err [0.005686] [0.05360316] 0.2767508253407282 [0.16579467]
x_err,y_err, velCond, z_err [0.01309101] [0.049168] 0.21580042408199546 [0.16587701]
x_err,y_err, velCond, z_err [0.01547444] [0.04696557] 0.12769660873446442 [0.16193253]
x_err,y_err, velCond, z_err [0.02345768] [0.04325446] 0.242233311980414 [0.16597958]
x_err,y_err, velCond, z_err [0.02545783] [0.03896193] 0.41382624525626543 [0.1501184]
x_err,y_err, velCond, z_err [0.03616874] [0.03221106] 0.4386182299582624 [0.16226417]
x_err,y_err, velCond, z_err [0.03070002] [0.03095459] 0.4211090192970164 [0.14638188]
